max_err,rmse,a6,a8,a9,a10,y,L,kappa,r21,s19,imput
0.015599999999999947,0.007722198406038395,0.0,0.0,6.0,0.0,14.0,80.0,0.0,0.0,0.0,0.0
0.015619999999999967,0.007791698340993254,0.0,0.0,8.0,0.5,14.0,80.0,0.0,0.0,0.0,0.0
0.015639999999999987,0.00927152846482573,0.0,1.0,8.0,1.0,16.0,80.0,0.0,1.0,0.0,1.0
0.015649999999999942,0.0077112691994681605,0.0,0.0,6.0,0.0,14.0,80.0,0.0,1.0,0.0,0.0
0.015649999999999942,0.007765611759546056,0.0,0.0,8.0,0.5,14.0,80.0,0.0,0.0,0.3,0.0
0.015649999999999942,0.007753032768608095,0.0,0.0,8.0,0.5,14.0,80.0,0.0,1.0,0.3,0.0
0.015679,0.009313209658766837,0.0,0.0,6.0,0.5,14.0,100.0,0.0,1.0,0.3,1.0
0.015680000000000027,0.009261655603536466,0.0,1.0,8.0,1.0,16.0,80.0,0.0,1.0,0.3,1.0
0.015689999999999982,0.007782871654163705,0.0,0.0,8.0,0.5,14.0,80.0,0.0,1.0,0.0,0.0
0.01569900000000002,0.009336397358169234,0.0,0.0,6.0,0.5,14.0,100.0,0.0,0.0,0.3,1.0
0.015699999999999936,0.007705564083949434,0.0,0.0,6.0,0.0,14.0,80.0,0.0,1.0,0.3,0.0
0.015700000000000047,0.00929363171448301,0.0,1.0,8.0,1.0,16.0,80.0,0.0,0.0,0.0,1.0
0.01572999999999991,0.007713332473830708,0.0,0.0,6.0,0.0,14.0,80.0,0.0,0.0,0.3,0.0
0.015749000000000013,0.009380230278307346,0.0,0.0,6.0,0.5,14.0,100.0,0.0,0.0,0.0,1.0
0.015749000000000013,0.00937748817746619,0.0,0.0,6.0,0.5,14.0,100.0,0.0,1.0,0.0,1.0
0.015750000000000042,0.009296846303192543,0.0,1.0,8.0,1.0,16.0,80.0,0.0,0.0,0.3,1.0
0.015849999999999975,0.009124047392183714,0.0,2.0,6.0,1.0,16.0,60.0,0.3,1.0,0.0,0.0
0.015880000000000005,0.009145064651574717,0.0,2.0,6.0,1.0,16.0,60.0,0.3,1.0,0.3,0.0
0.01591999999999999,0.009138865319793979,0.0,2.0,6.0,1.0,16.0,60.0,0.3,0.0,0.0,0.0
0.01593,0.008229006334865665,0.0,1.0,8.0,1.0,16.0,100.0,0.0,1.0,0.3,1.0
0.01595000000000002,0.008146029121261753,0.0,2.0,8.0,0.5,16.0,120.0,0.0,1.0,0.3,0.0
0.015959999999999974,0.008263224153283467,0.0,1.0,8.0,1.0,16.0,100.0,0.0,0.0,0.3,1.0
0.015979999999999994,0.0082360396406867,0.0,1.0,8.0,1.0,16.0,100.0,0.0,1.0,0.0,1.0
0.015979999999999994,0.008186344596451579,0.0,2.0,8.0,0.5,16.0,120.0,0.0,0.0,0.0,0.0
