maxsc,rmse,b1,b7,bs,a6,a8,a9,a10,y,L,kap,e21,e4,s19,s20,e22,bn,p2,rwc
6.520000000000008,0.008631280498109007,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.008,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.520000000000008,0.008630812806665642,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.008,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.520000000000008,0.008630812806665642,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.008,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.523333333333325,0.008630247844172939,dol,dol,dol,-0.01,0.0,0.085,0.03,0.16,0.008,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.556666666666655,0.01139150635829655,dol,dol,dol,0.0,0.015,0.085,0.0,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.570000000000002,0.008295610624277742,dol,dol,dol,-0.01,0.015,0.14,0.03,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.710000000000031,0.01114228246781568,dol,dol,dol,0.0,0.015,0.085,0.0,0.16,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.723599999999985,0.011756052250586421,dol,dol,dol,0.01,0.015,0.045,0.01,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.746666666666679,0.010411464838055886,dol,dol,dol,0.0,0.015,0.045,0.01,0.16,0.008,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.7499999999999964,0.010411118312579019,dol,dol,dol,0.0,0.015,0.045,0.01,0.16,0.008,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
6.753333333333315,0.010411973701963052,dol,dol,dol,0.0,0.015,0.045,0.01,0.16,0.008,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.75666666666667,0.010411315393465993,dol,dol,dol,0.0,0.015,0.045,0.01,0.16,0.008,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
6.759599999999999,0.01072062367243277,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.759999999999988,0.007970430171020325,dol,dol,dol,-0.01,0.015,0.085,0.03,0.16,0.0,0.0,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
6.759999999999988,0.007970430171020325,dol,dol,dol,-0.01,0.015,0.085,0.03,0.16,0.0,0.004,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
6.763333333333343,0.007969726195399042,dol,dol,dol,-0.01,0.015,0.085,0.03,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.011,0.0,0.0
