ts,team_id,rank,score,team,org,finish_time
2026-07-04 22:10,54218574,4,0.9329,Aura Monster,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 21:53:11+05:30
2026-07-04 22:10,54806608,15,0.928743,nazar_is_real,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 21:55:49+05:30
2026-07-05 12:29,54156969,7,0.931171,Select,"Xavier School of Management (XLRI), Delhi",2026-07-04 23:41:06+05:30
2026-07-05 12:29,54826954,8,0.930686,navylover2916,"Birla Institute of Technology & Science, Pilani Campus",2026-07-05 03:24:14+05:30
2026-07-05 12:29,54810573,9,0.9306,Gamma,"Indian Institute of Technology (IIT), Madras",2026-07-05 11:59:39+05:30
2026-07-05 12:29,54826861,12,0.930086,arjun.jha.leo,"Birla Institute of Technology & Science, Pilani Campus",2026-07-05 02:59:31+05:30
2026-07-05 12:29,54757895,13,0.930029,bahubali,"Indian Institute of Technology (IIT), Delhi",2026-07-05 01:06:52+05:30
2026-07-05 12:29,54742587,15,0.929629,Imagine Losing,Xavier School of Management (XLRI),2026-07-04 22:19:48+05:30
2026-07-05 12:29,54583757,26,0.928471,adarsh.mishra.che24,"Indian Institute of Technology, Banaras Hindu University (II",2026-07-04 23:08:45+05:30
2026-07-05 12:29,54825391,37,0.927571,ayushmanbahinipati13,"Birla Institute of Technology & Science, Pilani Campus",2026-07-05 01:55:11+05:30
2026-07-05 12:29,54823447,39,0.9273,jvy257626,"Indian Institute of Technology (IIT), Delhi",2026-07-05 00:54:52+05:30
2026-07-05 12:29,54818459,41,0.926914,jangiddinesh748,"Indian Institute of Technology, Banaras Hindu University (II",2026-07-05 10:49:55+05:30
2026-07-05 12:29,54808130,42,0.926429,himraj3600,"Indian Institute of Management (IIM), Bangalore",2026-07-05 11:06:15+05:30
2026-07-05 12:29,54154853,42,0.926429,varnima.agarwal26,"Indian Institute of Management (IIM), Bangalore",2026-07-05 11:27:51+05:30
2026-07-05 12:29,54827211,44,0.9261,riyalsivam,"Indian Institute of Technology (IIT), Delhi",2026-07-05 03:18:42+05:30
2026-07-05 12:29,54396065,55,0.925143,Team_R,"Indian Institute of Management (IIM), Mumbai",2026-07-05 02:54:11+05:30
2026-07-05 12:29,54655361,58,0.924357,a105,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 07:25:52+05:30
2026-07-05 12:29,54621887,59,0.924343,mahirc24,"Indian Institute of Technology (IIT), Kanpur",2026-07-05 07:21:30+05:30
2026-07-05 12:29,54817711,60,0.924329,varshith_s,"Indian Institute of Technology (IIT), Roorkee",2026-07-05 00:14:24+05:30
2026-07-05 12:29,54815086,62,0.923429,Tudududu,"Indian Institute of Technology (IIT), Delhi",2026-07-05 11:23:49+05:30
2026-07-05 12:29,54678119,66,0.922829,RTC,"Indian Institute of Technology (IIT), Delhi",2026-07-04 22:19:57+05:30
